movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
The Dilemma,1,2011,32,46,163,24,195,27.61
The Disappointments Room,9,2016,7,31,27,0,34,6.38
The Disaster Artist,12,2017,44,76,351,91,395,89.33
The Divergent Series: Insurgent,3,2015,40,42,207,28,247,30.27
The Door in the Floor,7,2004,38,67,142,68,180,67.79
The Dreamers,2,2004,,,,,0,0
The Dressmaker,9,2016,,,,,0,0
The Drop,9,2014,36,69,203,89,239,85.99
The Duchess,9,2008,34,62,171,63,205,62.83
The Dukes of Hazzard,8,2005,36,33,170,14,206,17.32
The Eagle,2,2011,35,55,160,39,195,41.87
The Eclipse,3,2010,38,58,,,38,58.00
The Edge of Seventeen,12,2016,38,77,222,94,260,91.52
The Emoji Movie,7,2017,26,12,133,6,159,6.98
The Emperor's Club,11,2002,32,49,128,50,160,49.80
The Emperor's New Groove,12,2000,28,70,135,86,163,83.25
The Equalizer,9,2014,41,57,206,61,247,60.34
The Equalizer 2,7,2018,43,50,213,52,256,51.66
The Exorcism of Emily Rose,9,2005,32,46,157,45,189,45.17
The Exorcist: Believer,10,2023,54,39,251,22,305,25.01
The Expendables,8,2010,35,45,211,42,246,42.43
The Expendables 2,8,2012,28,51,135,67,163,64.25
The Expendables 3,8,2014,36,35,177,32,213,32.51
The Express,10,2008,27,58,122,62,149,61.28
The Eye,2,2008,13,36,77,22,90,24.02
The Family,9,2013,32,42,,,32,42.00
The Family Man,12,2000,28,42,130,53,158,51.05
The Family Stone,12,2005,35,56,160,52,195,52.72
The Farewell,7,2019,47,89,349,97,396,96.05
The Fast and the Furious,6,2001,34,58,160,54,194,54.70
The Fast and the Furious: Tokyo Drift,6,2006,32,45,142,37,174,38.47
The Fate of the Furious,4,2017,45,56,313,67,358,65.62
The Fault in Our Stars,6,2014,45,69,226,81,271,79.01
The Favourite,11,2018,53,91,428,93,481,92.78
The Fifth Estate,10,2013,42,49,179,36,221,38.47
The Fighter,12,2010,41,79,255,91,296,89.34
The Fighting Temptations,9,2003,32,53,111,42,143,44.46
The Final Destination,8,2009,14,30,99,27,113,27.37
The Finest Hours,1,2016,39,58,200,64,239,63.02
The First Purge,7,2018,39,54,175,56,214,55.64
The Five-Year Engagement,4,2012,38,62,179,64,217,63.65
The Flash,6,2023,55,55,387,63,442,62.00
The Flintstones in Viva Rock Vegas,4,2000,26,27,72,25,98,25.53
The Florida Project,10,2017,44,92,317,96,361,95.51
The Fog,10,2005,16,27,69,4,85,8.33
The Forbidden Kingdom,4,2008,27,57,129,63,156,61.96
The Foreigner,10,2017,23,55,125,66,148,64.29
The Forest,1,2016,30,34,138,10,168,14.29
The Forgotten,9,2004,34,43,,,34,43.00
The Forsaken,4,2001,12,35,56,7,68,11.94
The Founder,1,2017,,,,,0,0
The Fountain,11,2006,36,51,206,53,242,52.70
The Four Feathers,9,2002,32,49,150,42,182,43.23
The Fourth Kind,11,2009,27,34,115,18,142,21.04
The Future,7,2011,28,67,,,28,67.00
The Gallows,7,2015,22,30,117,15,139,17.37
The Gambler,12,2014,40,55,143,43,183,45.62
The Game Plan,9,2007,23,44,104,30,127,32.54
The Game of Their Lives,4,2005,13,47,35,26,48,31.69
The Gentlemen,12,2019,44,51,278,75,322,71.72
The Ghost Writer,2,2010,35,77,210,84,245,83.00
The Gift,12,2000,29,62,,,29,62.00
The Girl Next Door,4,2004,32,47,160,56,192,54.50
The Girl on the Train,1,2010,,,,,0,0
The Girl with the Dragon Tattoo,3,2010,,,,,0,0
The Giver,8,2014,33,47,170,35,203,36.95
The Glass House,9,2001,17,34,87,22,104,23.96
The Golden Compass,12,2007,33,51,196,42,229,43.30
The Goldfinch,9,2019,41,40,228,25,269,27.29
The Good Dinosaur,11,2015,37,66,219,75,256,73.70
The Good German,12,2006,34,49,153,34,187,36.73
The Good Girl,8,2002,35,71,159,82,194,80.02
The Good Guy,2,2010,35,64,,,35,64.00
The Good Liar,11,2019,31,55,165,64,196,62.58
The Good Shepherd,12,2006,33,61,173,56,206,56.80
The Good Thief,4,2003,,,,,0,0
The Good the Bad the Weird,4,2010,,,,,0,0
The Goods: Live Hard Sell Hard,8,2009,23,39,,,23,39.00
"The Goods: Live Hard, Sell Hard",8,2009,23,39,,,23,39.00
The Gospel,10,2005,14,46,,,14,46.00
The Gospel of John,9,2003,14,52,49,37,63,40.33
The Grand Budapest Hotel,3,2014,48,88,318,92,366,91.48
The Great Debaters,12,2007,32,65,134,80,166,77.11
The Great Gatsby,5,2013,45,55,306,48,351,48.90
The Great New Wonderful,6,2006,,,,,0,0
The Great Raid,8,2005,29,48,120,38,149,39.95
The Great Wall,2,2017,,,,,0,0
The Greatest,4,2010,,,,,0,0
The Greatest Game Ever Played,9,2005,28,55,112,63,140,61.40
The Greatest Movie Ever Sold,4,2011,34,66,,,34,66.00
The Greatest Showman,12,2017,43,48,265,57,308,55.74
The Green Hornet,1,2011,39,39,240,45,279,44.16
The Green Inferno,9,2015,,,,,0,0
The Grey,1,2012,,,211,80,211,80.00
The Grinch,11,2018,32,51,,,32,51.00
The Grudge,10,2004,32,49,164,41,196,42.31
The Grudge 2,10,2006,16,33,78,12,94,15.57
The Guard,7,2011,29,78,139,94,168,91.24
The Guardian,9,2006,29,53,150,37,179,39.59
The Guilt Trip,12,2012,29,50,127,37,156,39.42
The Gunman,3,2015,41,39,181,15,222,19.43
The Guru,1,2003,41,94,,,41,94.00
The Hangover,6,2009,31,73,241,79,272,78.32
The Hangover Part II,5,2011,40,44,249,34,289,35.38
The Hangover Part III,5,2013,37,30,204,20,241,21.54
The Happening,6,2008,38,34,187,18,225,20.70
The Happytime Murders,8,2018,48,27,248,23,296,23.65
The Hate U Give,10,2018,44,81,227,97,271,94.40
The Hateful Eight,12,2015,51,68,336,75,387,74.08
The Haunted Mansion,11,2003,34,34,142,13,176,17.06
The Haunting of Molly Hartley,10,2008,10,28,41,2,51,7.10
The Heat,6,2013,37,60,183,66,220,64.99
The Hebrew Hammer,12,2003,13,41,26,50,39,47.00
The Help,8,2011,41,62,235,76,276,73.92
The Hills Have Eyes,3,2006,28,52,140,52,168,52.00
The Hills Have Eyes 2,3,2007,18,32,68,12,86,16.19
The History Boys,11,2006,32,74,104,65,136,67.12
The Hitchhiker's Guide to the Galaxy,4,2005,37,63,199,60,236,60.47
The Hitman's Bodyguard,8,2017,42,47,227,44,269,44.47
The Hoax,4,2007,,,,,0,0
The Hobbit: An Unexpected Journey,12,2012,40,58,305,64,345,63.30
The Hobbit: The Battle of the Five Armies,12,2014,46,59,266,59,312,59.00
The Hobbit: The Desolation of Smaug,12,2013,44,66,252,75,296,73.66
The Holiday,12,2006,31,52,159,50,190,50.33
The Home Teachers,1,2004,30,50,,,30,50.00
The Homesman,11,2014,43,68,155,81,198,78.18
The Honeymooners,6,2005,27,31,111,13,138,16.52
The Host,3,2013,28,35,133,10,161,14.35
The Hours,12,2002,40,80,196,80,236,80.00
The House,6,2017,5,67,,,5,67.00
The House Bunny,8,2008,22,55,125,43,147,44.80
The House of Mirth,12,2000,30,78,101,82,131,81.08
The House with a Clock in Its Walls,9,2018,38,57,,,38,57.00
The Human Stain,10,2003,39,57,154,42,193,45.03
The Hundred-Foot Journey,8,2014,36,55,147,69,183,66.25
The Hunger Games,3,2012,49,68,318,84,367,81.86
The Hunger Games: Catching Fire,11,2013,49,76,294,90,343,88.00
The Hunger Games: Mockingjay - Part 1,11,2014,46,64,,,46,64.00
The Hunger Games: Mockingjay - Part 2,11,2015,45,65,,,45,65.00
The Hunger Games: The Ballad of Songbirds & Snakes,11,2023,52,54,237,64,289,62.20
The Hunted,3,2003,34,40,150,29,184,31.03
The Hunting Party,9,2007,22,54,93,55,115,54.81
The Huntsman: Winter's War,4,2016,41,35,220,20,261,22.36
The Hurricane Heist,3,2018,12,35,60,47,72,45.00
The Hurt Locker,6,2009,,,,,0,0
The Hustle,5,2019,28,35,171,13,199,16.10
The Ides of March,10,2011,43,67,253,83,296,80.68
The Illusionist,8,2006,37,68,196,73,233,72.21
The Imaginarium of Doctor Parnassus,12,2009,30,65,197,64,227,64.13
The Imitation Game,11,2014,49,71,287,90,336,87.23
The Immigrant,5,2014,46,59,,,46,59.00
The Importance of Being Earnest,5,2002,30,60,115,57,145,57.62
The Impossible,12,2012,42,73,205,82,247,80.47
The Inbetweeners,9,2012,,,,,0,0
The Incredible Burt Wonderstone,3,2013,35,44,196,37,231,38.06
The Incredible Hulk,6,2008,38,61,240,67,278,66.18
The Incredibles,11,2004,41,90,252,97,293,96.02
The Infiltrator,7,2016,38,66,181,71,219,70.13
The Informant!,9,2009,37,66,231,80,268,78.07
The Intern,9,2015,36,51,201,59,237,57.78
The International,2,2009,34,52,212,58,246,57.17
The Internship,6,2013,36,42,169,35,205,36.23
The Interpreter,4,2005,41,62,193,58,234,58.70
The Interview,12,2014,33,52,156,51,189,51.17
The Intruder,12,2005,,,,,0,0
The Invasion,8,2007,31,45,164,20,195,23.97
The Invention of Lying,10,2009,31,58,188,56,219,56.28
The Iron Claw,12,2023,55,73,266,89,321,86.26
The Iron Lady,12,2011,41,52,238,52,279,52.00
The Island,7,2005,,,,,0,0
The Italian Job,5,2003,37,68,181,72,218,71.32
The Jacket,3,2005,35,44,162,44,197,44.00
The Janky Promoters,10,2009,,,,,0,0
The Joneses,4,2010,,,,,0,0
The Judge,10,2014,39,48,200,49,239,48.84
The Jungle Book,4,2016,49,77,332,94,381,91.81
The Jungle Book 2,2,2003,24,38,92,18,116,22.14
The Karate Kid,6,2010,37,61,211,66,248,65.25
The Kid,3,2019,35,66,47,45,82,53.96
The Kid Who Would Be King,1,2019,35,66,193,90,228,86.32
The Kids Are All Right,7,2010,39,86,227,93,266,91.97
The Killer Inside Me,6,2010,33,53,130,56,163,55.39
The King's Speech,4,2011,,,,,0,0
The Kingdom,9,2007,,,188,52,188,52.00
The Kitchen,8,2019,42,35,232,24,274,25.69
The Kite Runner,12,2007,34,61,178,65,212,64.36
The Ladies Man,10,2000,23,22,72,11,95,13.66
The Lady in the Van,12,2015,30,70,151,89,181,85.85
The Ladykillers,3,2004,40,56,190,54,230,54.35
The Lake House,6,2006,34,52,157,35,191,38.03
The Last Airbender,7,2010,33,20,192,5,225,7.20
The Last Castle,10,2001,32,43,118,52,150,50.08
The Last Exorcism,8,2010,31,63,164,71,195,69.73
The Last Exorcism Part II,3,2013,20,35,71,15,91,19.40
The Last Godfather,4,2011,,,,,0,0
The Last House on the Left,3,2009,27,42,169,43,196,42.86
The Last King of Scotland,9,2006,36,74,184,87,220,84.87
The Last Kiss,9,2006,27,57,134,46,161,47.84
The Last Legion,8,2007,12,37,55,15,67,18.94
The Last Samurai,12,2003,43,55,221,66,264,64.21
The Last Sin Eater,2,2007,11,37,37,22,48,25.44
The Last Song,3,2010,27,33,122,21,149,23.17
The Last Stand,1,2013,33,54,169,61,202,59.86
The Last Station,1,2010,,,,,0,0
The Last Voyage of the Demeter,8,2023,33,52,193,49,226,49.44
The Last Witch Hunter,10,2015,22,34,139,18,161,20.19
The Lazarus Effect,2,2015,29,31,109,15,138,18.36
The League of Extraordinary Gentlemen,7,2003,36,30,184,17,220,19.13
The Legend of Bagger Vance,11,2000,35,47,130,43,165,43.85
The Legend of Hercules,1,2014,19,22,82,5,101,8.20
The Legend of Tarzan,7,2016,41,44,260,35,301,36.23
The Legend of Zorro,10,2005,33,47,141,28,174,31.60
The Lego Batman Movie,2,2017,48,75,,,48,75.00
The Lego Movie,2,2014,43,83,,,43,83.00
The Lego Movie 2: The Second Part,2,2019,52,65,,,52,65.00
The Lego Ninjago Movie,9,2017,33,55,,,33,55.00
The Libertine,11,2005,39,75,122,34,161,43.93
The Life Aquatic with Steve Zissou,12,2004,38,62,,,38,62.00
The Life Before Her Eyes,4,2008,,,,,0,0
The Life of David Gale,2,2003,36,31,157,19,193,21.24
The Light Between Oceans,9,2016,44,60,236,62,280,61.69
The Lighthouse,10,2019,51,83,394,90,445,89.20
The Lincoln Lawyer,3,2011,31,63,177,84,208,80.87
The Lion King,12,2002,,,,,0,0
The Little Mermaid,8,2018,27,73,5,20,32,64.72
The Little Prince,2,2016,,,,,0,0
The Little Vampire,10,2000,24,45,66,55,90,52.33
The Lives of Others,2,2007,,,,,0,0
The Lizzie McGuire Movie,5,2003,28,56,102,40,130,43.45
The Lobster,5,2016,,,,,0,0
The Lone Ranger,7,2013,45,37,249,31,294,31.92
The Longest Ride,4,2015,30,33,122,31,152,31.39
The Longest Yard,5,2005,35,48,169,31,204,33.92
The Longshots,8,2008,19,52,71,41,90,43.32
The Lookout,3,2007,33,73,168,87,201,84.70
The Lorax,3,2012,30,46,,,30,46.00
The Lord of the Rings: The Fellowship of the Ring,12,2001,34,92,235,91,269,91.13
The Lord of the Rings: The Return of the King,4,2023,,,,,0,0
The Lord of the Rings: The Two Towers,12,2002,39,87,258,95,297,93.95
The Lords of Salem,4,2013,,,,,0,0
The Losers,4,2010,32,44,168,48,200,47.36
The Lost City,4,2006,,,,,0,0
The Lost City of Z,4,2017,45,51,,,45,51.00
The Lost Skeleton of Cadavra,2,2004,,,,,0,0
The Love Guru,6,2008,33,24,178,13,211,14.72
The Lovely Bones,12,2009,36,42,247,31,283,32.40
The Lucky One,4,2012,35,39,148,20,183,23.63
The Lunchbox,2,2014,,,,,0,0
The Machine,5,2023,7,37,25,32,32,33.09
The Machinist,10,2004,32,61,142,77,174,74.06
The Magnificent Seven,9,2016,50,54,317,64,367,62.64
The Majestic,12,2001,30,27,144,42,174,39.41
The Man,9,2005,,,,,0,0
The Man Who Knew Infinity,4,2016,,,,,0,0
The Man from U.N.C.L.E.,8,2015,40,56,,,40,56.00
The Man with the Iron Fists,11,2012,18,51,,,18,51.00
The Manchurian Candidate,7,2004,41,76,210,80,251,79.35
The Marine,10,2006,14,45,47,17,61,23.43
The Martian,10,2015,46,80,386,91,432,89.83
The Marvels,11,2023,57,50,360,62,417,60.36
The Master,9,2012,43,86,,,43,86.00
The Master of Disguise,8,2002,24,12,105,1,129,3.05
The Matador,12,2005,36,65,156,75,192,73.12
The Matrix Reloaded,5,2003,40,62,244,74,284,72.31
The Matrix Revolutions,11,2003,41,47,218,34,259,36.06
The Maze Runner,9,2014,34,57,173,65,207,63.69
The Mechanic,1,2011,35,49,168,53,203,52.31
The Medallion,8,2003,30,38,126,17,156,21.04
The Meddler,4,2016,,,,,0,0
The Meg,8,2018,46,46,312,47,358,46.87
The Men Who Stare at Goats,11,2009,33,54,219,51,252,51.39
The Merchant of Venice,12,2004,35,63,126,72,161,70.04
The Messengers,2,2007,16,34,83,11,99,14.72
The Mexican,3,2001,35,43,136,54,171,51.75
The Mighty Macs,10,2011,,,,,0,0
The Mist,11,2007,29,58,151,73,180,70.58
The Monuments Men,2,2014,43,52,257,31,300,34.01
The Mortal Instruments: City of Bones,8,2013,35,33,127,13,162,17.32
The Mother,5,2004,,,,,0,0
The Mothman Prophecies,1,2002,32,52,142,52,174,52.00
The Mountain Between Us,10,2017,37,48,174,39,211,40.58
The Mule,12,2018,38,58,193,70,231,68.03
The Mummy,6,2017,44,34,316,15,360,17.32
The Mummy Returns,5,2001,31,48,141,46,172,46.36
The Mummy: Tomb of the Dragon Emperor,8,2008,33,31,176,13,209,15.84
The Muppets,11,2011,37,75,234,95,271,92.27
The Musketeer,9,2001,23,27,98,11,121,14.04
The Namesake,3,2007,,,,,0,0
The Nativity Story,12,2006,28,52,132,38,160,40.45
The New Guy,5,2002,23,24,99,7,122,10.20
The New World,12,2005,38,73,191,63,229,64.66
The Next Best Thing,3,2000,31,25,94,19,125,20.49
The Next Three Days,11,2010,36,52,170,50,206,50.35
The Nice Guys,5,2016,51,70,325,91,376,88.15
The Night Before,11,2015,31,58,,,31,58.00
The Night Listener,8,2006,31,51,136,40,167,42.04
The Notebook,8,2014,,,,,0,0
The November Man,8,2014,32,38,130,35,162,35.59
The Number 23,2,2007,96,6,190,7,286,6.66
The Nun,9,2018,32,46,208,25,240,27.80
The Nut Job,1,2014,28,37,97,13,125,18.38
The Nut Job 2: Nutty by Nature,8,2017,19,36,61,15,80,19.99
The Nutcracker and the Four Realms,11,2018,38,39,204,32,242,33.10
The Odd Life of Timothy Green,8,2012,29,47,131,36,160,37.99
The Oh in Ohio,7,2006,20,48,69,23,89,28.62
The Omen,6,2006,34,43,168,26,202,28.86
The Order,9,2003,,,61,10,61,10.00
The Original Kings of Comedy,8,2000,37,73,104,83,141,80.38
The Other Boleyn Girl,2,2008,34,50,149,43,183,44.30
The Other Guys,8,2010,35,64,209,79,244,76.85
The Other Side of the Door,3,2016,10,41,39,36,49,37.02
The Other Woman,4,2014,35,39,167,26,202,28.25
The Others,8,2001,29,74,174,84,203,82.57
The Pacifier,3,2005,27,30,129,21,156,22.56
The Painted Veil,12,2006,33,69,143,74,176,73.06
The Passion of the Christ,2,2004,44,47,281,49,325,48.73
The Patriot,6,2000,35,63,138,62,173,62.20
The Peanut Butter Falcon,8,2019,28,70,226,95,254,92.24
The Peanuts Movie,11,2015,31,67,198,87,229,84.29
The Perfect Guy,9,2015,13,36,44,18,57,22.11
The Perfect Man,6,2005,29,27,128,6,157,9.88
The Perfect Match,3,2016,8,41,18,22,26,27.85
The Perfect Storm,6,2000,36,59,137,46,173,48.71
The Perks of Being a Wallflower,9,2012,36,67,172,85,208,81.88
The Phantom of the Opera,12,2004,39,40,169,33,208,34.31
The Pianist,12,2002,40,85,190,95,230,93.26
The Pink Panther,2,2006,35,38,143,21,178,24.34
The Pink Panther 2,2,2009,30,36,137,12,167,16.31
The Pirates! Band of Misfits,4,2012,31,73,154,86,185,83.82
The Place Beyond the Pines,3,2013,,,,,0,0
The Pledge,1,2001,33,71,125,78,158,76.54
The Polar Express,11,2004,36,61,210,56,246,56.73
The Possession,8,2012,26,45,101,39,127,40.23
The Possession of Hannah Grace,11,2018,10,37,57,21,67,23.39
The Post,12,2017,51,83,406,88,457,87.44
The Powerpuff Girls Movie,7,2002,25,65,102,64,127,64.20
The Predator,9,2018,49,48,296,34,345,35.99
The Prestige,10,2006,36,66,206,77,242,75.36
The Prince and Me,4,2004,31,47,,,31,47.00
The Princess Diaries,8,2001,27,52,118,49,145,49.56
The Princess Diaries 2: Royal Engagement,8,2004,31,43,120,26,151,29.49
The Princess and the Frog,11,2009,29,73,202,85,231,83.49
The Prize Winner of Defiance Ohio,9,2005,28,58,,,28,58.00
The Prodigy,2,2019,18,45,84,43,102,43.35
The Producers,12,2005,37,52,155,51,192,51.19
The Promise,5,2006,,,,,0,0
The Proposal,6,2009,30,48,190,45,220,45.41
The Proposition,5,2006,,,,,0,0
The Punisher,4,2004,36,33,173,29,209,29.69
The Purge,6,2013,33,41,158,41,191,41.00
The Purge: Anarchy,7,2014,32,50,143,58,175,56.54
The Purge: Election Year,7,2016,31,55,164,55,195,55.00
The Pursuit of Happyness,12,2006,36,64,176,67,212,66.49
The Queen,9,2006,38,90,,,38,90.00
The Quiet American,11,2002,39,84,156,87,195,86.40
The Quiet Ones,4,2014,24,41,81,38,105,38.69
The Railway Man,4,2014,,,,,0,0
The Raven,4,2012,30,44,143,22,173,25.82
The Reader,12,2008,38,58,204,63,242,62.21
The Real Cancun,4,2003,24,34,91,34,115,34.00
The Reaping,4,2007,23,36,132,8,155,12.15
The Replacements,8,2000,32,30,108,41,140,38.49
The Revenant,12,2015,50,76,403,78,453,77.78
The Ring,10,2002,39,87,210,71,249,73.51
The Ring Two,3,2005,37,44,188,21,225,24.78
The Rite,1,2011,33,38,174,22,207,24.55
The Road,11,2009,33,64,,,33,64.00
The Road to El Dorado,3,2000,29,51,106,49,135,49.43
The Rocker,8,2008,28,53,122,40,150,42.43
The Rookie,3,2002,31,72,154,84,185,81.99
The Roommate,2,2011,16,23,89,3,105,6.05
The Rover,6,2014,38,64,173,68,211,67.28
The Royal Tenenbaums,12,2001,34,76,217,81,251,80.32
The Ruins,4,2008,15,44,98,50,113,49.20
The Rules of Attraction,10,2002,30,50,142,44,172,45.05
The Rum Diary,10,2011,37,56,169,51,206,51.90
The Runaways,3,2010,36,65,193,69,229,68.37
The Rundown,9,2003,36,59,152,70,188,67.89
The Santa Clause 2,11,2002,26,48,122,56,148,54.59
The Sapphires,3,2013,,,,,0,0
The Savages,11,2007,37,85,173,90,210,89.12
The Score,7,2001,29,71,129,74,158,73.45
The Scorpion King,4,2002,30,45,137,41,167,41.72
The Second Best Exotic Marigold Hotel,3,2015,36,51,185,66,221,63.56
The Secret Life of Bees,10,2008,32,57,141,60,173,59.45
The Secret Life of Pets,7,2016,39,61,240,70,279,68.74
The Secret Life of Pets 2,6,2019,26,55,163,60,189,59.31
The Secret Life of Walter Mitty,12,2013,39,54,199,52,238,52.33
